feature,category,N,mean,median,min,max,range,std,sum,wordcount
repeated_punctuation0,m,74889,9480.39793778,0.0,0.0,846153.846154,846153.846154,23268.3924208,71864,10612644
repeated_punctuation0,w,27994,10332.6721643,0.0,0.0,317073.170732,317073.170732,21947.6608379,32410,5734234
leetspeak0,m,74889,4.65509106609,0.0,0.0,45454.5454545,45454.5454545,305.327529545,29,10612644
leetspeak0,w,27994,6.08231105375,0.0,0.0,50000.0,50000.0,448.522507959,12,5734234
rebus0,m,74889,111.142309122,0.0,0.0,93750.0,93750.0,1728.79466607,963,10612644
rebus0,w,27994,69.3248711784,0.0,0.0,72463.7681159,72463.7681159,1238.57126968,328,5734234
capitalization0,m,74889,10567.0051043,0.0,0.0,583333.333333,583333.333333,44151.8536808,77479,10612644
capitalization0,w,27994,10182.7435073,0.0,0.0,500000.0,500000.0,36788.1803853,33484,5734234
single_letters0,m,74889,1875.37627671,0.0,0.0,185430.463576,185430.463576,8642.24166867,10652,10612644
single_letters0,w,27994,2008.21105108,0.0,0.0,142857.142857,142857.142857,7912.63159837,5729,5734234
clippings0,m,74889,10993.6879986,0.0,0.0,250000.0,250000.0,18002.3005987,62618,10612644
clippings0,w,27994,7380.29821988,0.0,0.0,142857.142857,142857.142857,12021.4792848,20429,5734234
acronyms0,m,74889,7236.28317713,0.0,0.0,612903.225806,612903.225806,14291.2626345,44723,10612644
acronyms0,w,27994,6389.68358818,0.0,0.0,200000.0,200000.0,11419.6843038,18862,5734234
emoticons0,m,74889,731.912859666,0.0,0.0,207373.271889,207373.271889,3938.61443758,5340,10612644
emoticons0,w,27994,1580.81365836,0.0,0.0,200000.0,200000.0,5529.64799803,4750,5734234
prosody0,m,74889,242.704778953,0.0,0.0,125000.0,125000.0,2231.33136759,2211,10612644
prosody0,w,27994,272.91684036,0.0,0.0,62500.0,62500.0,1952.10133892,1036,5734234